id;type;marque;modele;annee;kilometrage;disponible;joursLoues;revenuCumule;seuilEntretienKm;attribut
V001;VOITURE;Toyota;Corolla;2022;45000;true;12;540.00;80000;5
V002;VOITURE;Honda;Civic;2021;62000;true;8;360.00;75000;5
V003;VOITURE;Hyundai;Elantra;2023;18000;true;0;0.00;50000;5
V004;VOITURE;Kia;Sportage;2020;89000;true;15;675.00;90000;5
V005;VOITURE;Mazda;CX-5;2022;71000;true;6;270.00;85000;5
V006;VOITURE;Volkswagen;Golf;2019;105000;true;20;900.00;120000;7
C001;CAMION;Ford;F-150;2021;95000;true;10;960.00;110000;1500
C002;CAMION;Ram;1500;2022;48000;true;5;480.00;90000;2000
C003;CAMION;Chevrolet;Silverado;2020;120000;true;18;1728.00;130000;2500
C004;CAMION;GMC;Sierra;2023;22000;true;0;0.00;60000;1800
C005;CAMION;Isuzu;NPR;2018;145000;true;25;2400.00;150000;3500
M001;MOTO;Yamaha;MT-07;2022;12000;true;7;175.00;25000;689
M002;MOTO;Honda;CB500F;2021;8500;true;4;100.00;20000;471
M003;MOTO;Kawasaki;Ninja 400;2023;5000;true;0;0.00;15000;399
M004;MOTO;Suzuki;GSX-S750;2020;28000;true;9;297.00;35000;749
M005;MOTO;Harley-Davidson;Iron 883;2019;35000;true;11;363.00;45000;883
V007;VOITURE;BMW;Serie3;2021;55000;true;3;135.00;80000;5
BUS001;BUS;Mercedes;Sprinter;2020;-100;true;0;0.00;100000;20
